Date,Open,High,Low,Close,Adj Close,Volume
1993-12-30,17.75,17.84375,17.71875,17.8125,14.671928405761719,1163600
1993-12-31,17.8125,17.84375,17.65625,17.71875,14.594715118408203,491600
1994-01-03,17.71875,17.75,17.3125,17.4375,14.363053321838379,758400
1994-01-04,17.5,17.5,17.28125,17.40625,14.337308883666992,384000
1994-01-05,17.40625,17.75,17.34375,17.71875,14.594715118408203,947600
1994-01-06,17.6875,18.25,17.6875,18.125,14.929337501525879,1836400
1994-01-07,18.375,18.5625,18.125,18.15625,14.955076217651367,1477200
1994-01-10,18.125,18.5,18.125,18.40625,15.161001205444336,1655600
1994-01-11,18.3125,18.34375,18.1875,18.1875,14.980822563171387,1067200
1994-01-12,18.21875,18.9375,18.21875,18.84375,15.521361351013184,2811200
1994-01-13,18.84375,18.875,18.6875,18.875,15.547107696533203,1068000
1994-01-14,18.8125,19.125,18.75,19.0,15.650064468383789,929600
1994-01-17,19.0,19.0,18.71875,18.71875,15.418407440185547,686400
1994-01-18,18.6875,18.6875,18.5,18.625,15.341180801391602,868800
1994-01-19,18.5625,18.5625,18.4375,18.5625,15.289697647094727,1231600
1994-01-20,18.5625,18.5625,18.375,18.375,15.135260581970215,619200
1994-01-21,18.40625,19.09375,18.34375,19.09375,15.72728443145752,831600
1994-01-24,18.875,18.875,18.5,18.65625,15.366918563842773,928000
1994-01-25,18.5625,18.5625,18.0625,18.0625,14.877856254577637,884800
1994-01-26,18.125,18.3125,18.125,18.25,15.032295227050781,226800
1994-01-27,18.25,18.4375,18.21875,18.4375,15.18674087524414,855600
1994-01-28,18.5,18.8125,18.5,18.75,15.44414234161377,701600
1994-01-31,18.8125,19.125,18.8125,19.0,15.650064468383789,1241600
1994-02-01,18.90625,19.0,18.875,19.0,15.650064468383789,916400
1994-02-02,19.0,19.03125,18.8125,18.9375,15.598580360412598,896400
1994-02-03,18.875,19.0,18.75,18.9375,15.598580360412598,807600
1994-02-04,18.9375,19.46875,18.9375,19.375,15.95894718170166,1678400
1994-02-07,19.3125,19.3125,19.0,19.15625,15.778763771057129,1059200
1994-02-08,19.09375,19.21875,18.96875,19.1875,15.804502487182617,528000
1994-02-09,19.125,19.21875,19.09375,19.21875,15.830245018005371,707600
1994-02-10,19.21875,19.28125,19.125,19.28125,15.881726264953613,936800
1994-02-11,19.25,19.25,19.15625,19.1875,15.804502487182617,627200
1994-02-14,19.21875,19.21875,18.96875,19.0,15.650064468383789,806000
1994-02-15,19.0,19.25,19.0,19.125,15.75302791595459,587600
1994-02-16,19.1875,19.1875,18.875,18.9375,15.598580360412598,772400
1994-02-17,18.9375,19.0,18.90625,19.0,15.650064468383789,427600
1994-02-18,18.9375,19.28125,18.875,19.125,15.75302791595459,749200
1994-02-22,19.125,19.21875,19.09375,19.15625,15.778763771057129,603600
1994-02-23,19.21875,19.21875,19.03125,19.15625,15.778763771057129,458400
1994-02-24,19.125,19.125,19.0,19.0625,15.701539993286133,962800
1994-02-25,18.96875,19.0,18.8125,18.84375,15.521361351013184,594400
1994-02-28,18.8125,18.875,18.6875,18.71875,15.418407440185547,536400
1994-03-01,18.59375,18.625,18.375,18.375,15.135260581970215,330800
1994-03-02,17.9375,18.21875,17.875,18.21875,15.006553649902344,1003200
1994-03-03,18.21875,18.21875,18.0,18.0625,14.877856254577637,731200
1994-03-04,18.03125,18.125,17.875,18.09375,14.903600692749023,384400
1994-03-07,18.0625,18.09375,17.6875,17.6875,14.568976402282715,296800
1994-03-08,17.625,17.625,17.3125,17.5,14.414527893066406,952400
1994-03-09,17.5,17.5,17.125,17.1875,14.15712833404541,650400
1994-03-10,17.21875,17.34375,17.0625,17.0625,14.054167747497559,751600
1994-03-11,17.09375,17.09375,16.8125,16.90625,13.925468444824219,609600
1994-03-14,17.6875,17.8125,17.65625,17.65625,14.543231010437012,1987600
1994-03-15,17.6875,17.6875,17.4375,17.5,14.414527893066406,1430800
1994-03-16,17.6875,18.0,17.65625,17.96875,14.800629615783691,1326400
1994-03-17,17.96875,18.0,17.59375,17.84375,14.697672843933105,874400
1994-03-18,17.8125,17.84375,17.375,17.8125,14.671928405761719,1182000
1994-03-21,17.75,17.78125,17.5625,17.5625,14.466014862060547,470000
1994-03-22,17.5,17.5625,17.375,17.4375,14.363053321838379,650000
1994-03-23,17.46875,17.8125,17.46875,17.78125,14.646191596984863,663200
1994-03-24,17.78125,17.78125,17.375,17.4375,14.363053321838379,772000
1994-03-25,17.4375,17.4375,17.34375,17.34375,14.285831451416016,726000
1994-03-28,17.40625,17.59375,17.1875,17.25,14.20860481262207,781600
1994-03-29,17.28125,17.375,17.0,17.15625,14.131389617919922,976000
1994-03-30,17.0,17.03125,16.6875,16.6875,13.745291709899902,1171600
1994-03-31,16.75,16.75,16.375,16.71875,13.771028518676758,900000
1994-04-04,16.4375,16.65625,16.4375,16.5625,13.642325401306152,1444800
1994-04-05,16.8125,16.9375,16.75,16.75,13.796760559082031,858000
1994-04-06,16.75,16.84375,16.65625,16.84375,13.873984336853027,1328800
1994-04-07,16.84375,16.875,16.46875,16.71875,13.771028518676758,746000
1994-04-08,16.78125,16.78125,16.25,16.28125,13.410662651062012,1021200
1994-04-11,16.21875,16.21875,16.15625,16.21875,13.35917854309082,1181600
1994-04-12,16.25,16.5,15.78125,16.5,13.590842247009277,1383600
1994-04-13,16.875,17.5625,16.875,17.4375,14.363053321838379,2061200
1994-04-14,17.5,18.0625,17.46875,17.78125,14.646191596984863,1797600
1994-04-15,17.71875,17.84375,17.71875,17.75,14.620448112487793,601200
1994-04-18,17.8125,17.875,17.5625,17.6875,14.568976402282715,1464000
1994-04-19,17.75,17.96875,17.71875,17.71875,14.594715118408203,1691600
1994-04-20,17.78125,17.84375,17.6875,17.75,14.620448112487793,770400
1994-04-21,17.8125,18.03125,17.8125,17.90625,14.749149322509766,634000
1994-04-22,17.875,18.0625,17.84375,18.0,14.826375961303711,293200
1994-04-25,17.9375,18.46875,17.9375,18.40625,15.161001205444336,454000
1994-04-26,18.46875,18.5,18.34375,18.46875,15.212482452392578,1096400
1994-04-28,18.375,18.625,18.28125,18.59375,15.31544303894043,697600
1994-04-29,18.53125,19.15625,18.4375,19.0625,15.701539993286133,1300000
1994-05-02,19.0625,19.0625,18.84375,19.0625,15.701539993286133,645200
1994-05-03,19.0625,19.4375,18.96875,19.375,15.95894718170166,732800
1994-05-04,19.3125,19.3125,19.15625,19.28125,15.881726264953613,336800
1994-05-05,19.21875,19.34375,18.8125,18.8125,15.495619773864746,556400
1994-05-06,18.75,18.75,18.5,18.5625,15.289697647094727,349600
1994-05-09,18.5,18.5,18.40625,18.4375,15.18674087524414,857600
1994-05-10,18.375,18.40625,18.28125,18.3125,15.083767890930176,400800
1994-05-11,18.3125,18.34375,18.125,18.125,14.929337501525879,714000
1994-05-12,17.9375,18.25,17.9375,18.0,14.826375961303711,543200
1994-05-13,18.03125,18.125,17.875,17.875,14.72341251373291,429200
1994-05-16,17.875,18.03125,17.875,17.96875,14.800629615783691,1195600
1994-05-17,17.90625,18.0625,17.90625,18.03125,14.852112770080566,654400
1994-05-18,18.03125,18.59375,18.03125,18.46875,15.212482452392578,482800
1994-05-19,18.40625,18.75,18.375,18.75,15.44414234161377,982000
1994-05-20,18.6875,18.6875,18.59375,18.6875,15.39267349243164,581200
1994-05-23,18.65625,18.75,18.65625,18.71875,15.418407440185547,665600
1994-05-24,18.65625,18.75,18.5625,18.75,15.44414234161377,568000
1994-05-25,18.6875,18.8125,18.65625,18.78125,15.469880104064941,314400
1994-05-26,18.75,18.84375,18.75,18.84375,15.521361351013184,277200
1994-05-27,18.78125,19.125,18.75,19.125,15.75302791595459,272000
1994-05-31,19.0625,19.125,18.9375,19.125,15.75302791595459,555600
